Age,Percentage,,,,,,,,,
Under 5 years,0.05,,,,,,,,,
5 to 9 years,0.05,,,,,,,,,
10 to 14 years,0.04,,,,,,,,,
15 to 19 years,0.05,,,,,,,,,
20 to 24 years,0.08,,,,,,,,,
25 to 29 years,0.12,,,,,,,,,
30 to 34 years,0.11,,,,,,,,,
35 to 39 years,0.08,,,,,,,,,
40 to 44 years,0.07,,,,,,,,,
45 to 49 years,0.07,,,,,,,,,
50 to 54 years,0.06,,,,,,,,,
55 to 59 years,0.06,,,,,,,,,
60 to 64 years,0.06,,,,,,,,,
65 to 69 years,0.04,,,,,,,,,
70 to 74 years,0.03,,,,,,,,,
75 to 79 years,0.02,,,,,,,,,
80 to 84 years,0.01,,,,,,,,,
85 years and over,0.02,,,,,,,,,